initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 4.46161, strokes: 25 / 500
iteration step 1, G_loss: 0.53587, step_psnr: 4.48006, strokes: 25 / 500
iteration step 2, G_loss: 0.53383, step_psnr: 4.49289, strokes: 25 / 500
iteration step 3, G_loss: 0.53239, step_psnr: 4.50590, strokes: 25 / 500
iteration step 4, G_loss: 0.53109, step_psnr: 4.51670, strokes: 25 / 500
iteration step 5, G_loss: 0.52994, step_psnr: 4.52700, strokes: 25 / 500
iteration step 6, G_loss: 0.52884, step_psnr: 4.53856, strokes: 25 / 500
iteration step 7, G_loss: 0.52774, step_psnr: 4.54886, strokes: 25 / 500
iteration step 8, G_loss: 0.52667, step_psnr: 4.55898, strokes: 25 / 500
iteration step 9, G_loss: 0.52565, step_psnr: 4.56887, strokes: 25 / 500
iteration step 10, G_loss: 0.52461, step_psnr: 4.58010, strokes: 25 / 500
iteration step 11, G_loss: 0.52347, step_psnr: 4.59006, strokes: 25 / 500
iteration step 12, G_loss: 0.52245, step_psnr: 4.60077, strokes: 25 / 500
iteration step 13, G_loss: 0.52142, step_psnr: 4.61184, strokes: 25 / 500
iteration step 14, G_loss: 0.52034, step_psnr: 4.62318, strokes: 25 / 500
iteration step 15, G_loss: 0.51925, step_psnr: 4.63406, strokes: 25 / 500
iteration step 16, G_loss: 0.51817, step_psnr: 4.64411, strokes: 25 / 500
iteration step 17, G_loss: 0.51718, step_psnr: 4.65405, strokes: 25 / 500
iteration step 18, G_loss: 0.51620, step_psnr: 4.66474, strokes: 25 / 500
iteration step 19, G_loss: 0.51517, step_psnr: 4.67581, strokes: 25 / 500
iteration step 20, G_loss: 0.51410, step_psnr: 4.68769, strokes: 25 / 500
iteration step 21, G_loss: 0.51299, step_psnr: 4.69958, strokes: 25 / 500
iteration step 22, G_loss: 0.51184, step_psnr: 4.71109, strokes: 25 / 500
iteration step 23, G_loss: 0.51074, step_psnr: 4.72314, strokes: 25 / 500
iteration step 24, G_loss: 0.50967, step_psnr: 4.73562, strokes: 25 / 500
iteration step 25, G_loss: 0.50852, step_psnr: 4.84951, strokes: 50 / 500
iteration step 26, G_loss: 0.49846, step_psnr: 4.88728, strokes: 50 / 500
iteration step 27, G_loss: 0.49489, step_psnr: 4.92200, strokes: 50 / 500
iteration step 28, G_loss: 0.49167, step_psnr: 4.95220, strokes: 50 / 500
iteration step 29, G_loss: 0.48893, step_psnr: 4.98116, strokes: 50 / 500
iteration step 30, G_loss: 0.48626, step_psnr: 5.01104, strokes: 50 / 500
