initialize network with normal
loading renderer from pre-trained checkpoint...
begin to draw...
iteration step 0, G_loss: 0.00000, step_psnr: 3.41741, strokes: 25 / 500
iteration step 1, G_loss: 0.61358, step_psnr: 3.43207, strokes: 25 / 500
iteration step 2, G_loss: 0.61164, step_psnr: 3.44421, strokes: 25 / 500
iteration step 3, G_loss: 0.61014, step_psnr: 3.45556, strokes: 25 / 500
iteration step 4, G_loss: 0.60867, step_psnr: 3.46497, strokes: 25 / 500
iteration step 5, G_loss: 0.60741, step_psnr: 3.47411, strokes: 25 / 500
iteration step 6, G_loss: 0.60625, step_psnr: 3.48286, strokes: 25 / 500
iteration step 7, G_loss: 0.60516, step_psnr: 3.49242, strokes: 25 / 500
iteration step 8, G_loss: 0.60400, step_psnr: 3.50154, strokes: 25 / 500
iteration step 9, G_loss: 0.60284, step_psnr: 3.51148, strokes: 25 / 500
iteration step 10, G_loss: 0.60165, step_psnr: 3.51975, strokes: 25 / 500
iteration step 11, G_loss: 0.60064, step_psnr: 3.52937, strokes: 25 / 500
iteration step 12, G_loss: 0.59950, step_psnr: 3.53909, strokes: 25 / 500
iteration step 13, G_loss: 0.59836, step_psnr: 3.54765, strokes: 25 / 500
iteration step 14, G_loss: 0.59725, step_psnr: 3.55791, strokes: 25 / 500
iteration step 15, G_loss: 0.59604, step_psnr: 3.56738, strokes: 25 / 500
iteration step 16, G_loss: 0.59485, step_psnr: 3.57674, strokes: 25 / 500
iteration step 17, G_loss: 0.59370, step_psnr: 3.58585, strokes: 25 / 500
iteration step 18, G_loss: 0.59256, step_psnr: 3.59523, strokes: 25 / 500
iteration step 19, G_loss: 0.59149, step_psnr: 3.60509, strokes: 25 / 500
iteration step 20, G_loss: 0.59031, step_psnr: 3.61508, strokes: 25 / 500
iteration step 21, G_loss: 0.58914, step_psnr: 3.62446, strokes: 25 / 500
iteration step 22, G_loss: 0.58800, step_psnr: 3.63454, strokes: 25 / 500
iteration step 23, G_loss: 0.58681, step_psnr: 3.64550, strokes: 25 / 500
iteration step 24, G_loss: 0.58556, step_psnr: 3.65677, strokes: 25 / 500
iteration step 25, G_loss: 0.58424, step_psnr: 3.76731, strokes: 50 / 500
iteration step 26, G_loss: 0.57292, step_psnr: 3.80720, strokes: 50 / 500
iteration step 27, G_loss: 0.56845, step_psnr: 3.83948, strokes: 50 / 500
iteration step 28, G_loss: 0.56483, step_psnr: 3.86759, strokes: 50 / 500
iteration step 29, G_loss: 0.56172, step_psnr: 3.89401, strokes: 50 / 500
iteration step 30, G_loss: 0.55871, step_psnr: 3.91995, strokes: 50 / 500
iteration step 31, G_loss: 0.55585, step_psnr: 3.94600, strokes: 50 / 500
iteration step 32, G_loss: 0.55309, step_psnr: 3.97046, strokes: 50 / 500
iteration step 33, G_loss: 0.55050, step_psnr: 3.99499, strokes: 50 / 500
iteration step 34, G_loss: 0.54782, step_psnr: 4.01920, strokes: 50 / 500
iteration step 35, G_loss: 0.54530, step_psnr: 4.04168, strokes: 50 / 500
iteration step 36, G_loss: 0.54289, step_psnr: 4.06636, strokes: 50 / 500
iteration step 37, G_loss: 0.54036, step_psnr: 4.09094, strokes: 50 / 500
iteration step 38, G_loss: 0.53783, step_psnr: 4.11692, strokes: 50 / 500
iteration step 39, G_loss: 0.53531, step_psnr: 4.14192, strokes: 50 / 500
iteration step 40, G_loss: 0.53277, step_psnr: 4.16737, strokes: 50 / 500
iteration step 41, G_loss: 0.53025, step_psnr: 4.19045, strokes: 50 / 500
iteration step 42, G_loss: 0.52783, step_psnr: 4.21571, strokes: 50 / 500
iteration step 43, G_loss: 0.52529, step_psnr: 4.23908, strokes: 50 / 500
iteration step 44, G_loss: 0.52288, step_psnr: 4.26098, strokes: 50 / 500
iteration step 45, G_loss: 0.52067, step_psnr: 4.28425, strokes: 50 / 500
iteration step 46, G_loss: 0.51830, step_psnr: 4.30938, strokes: 50 / 500
iteration step 47, G_loss: 0.51578, step_psnr: 4.33420, strokes: 50 / 500
iteration step 48, G_loss: 0.51335, step_psnr: 4.36016, strokes: 50 / 500
iteration step 49, G_loss: 0.51087, step_psnr: 4.38401, strokes: 50 / 500
iteration step 50, G_loss: 0.50851, step_psnr: 4.54221, strokes: 75 / 500
iteration step 51, G_loss: 0.49505, step_psnr: 4.59943, strokes: 75 / 500
iteration step 52, G_loss: 0.48990, step_psnr: 4.65384, strokes: 75 / 500
iteration step 53, G_loss: 0.48505, step_psnr: 4.70484, strokes: 75 / 500
iteration step 54, G_loss: 0.48057, step_psnr: 4.75360, strokes: 75 / 500
iteration step 55, G_loss: 0.47631, step_psnr: 4.80226, strokes: 75 / 500
iteration step 56, G_loss: 0.47208, step_psnr: 4.85139, strokes: 75 / 500
iteration step 57, G_loss: 0.46775, step_psnr: 4.89723, strokes: 75 / 500
